141049,[['Ngữ văn', '7'], ['Toán', '10'], ['Tiếng Anh', '9.69'], ['KHTN', '9.25'], ['LS&&ĐL', '7.75'], ['Tổng các môn', '43.69'], ['Tổng Toán, Văn, Anh', '26.69']]
024246,[['Ngữ văn', '7.75'], ['Toán', '9.25'], ['Tiếng Anh', '9.69'], ['KHTN', '8'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '43.19'], ['Tổng Toán, Văn, Anh', '26.69']]
024212,[['Ngữ văn', '8.25'], ['Toán', '8.75'], ['Tiếng Anh', '9.69'], ['KHTN', '7.6'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '42.79'], ['Tổng Toán, Văn, Anh', '26.69']]
183088,[['Ngữ văn', '7.25'], ['Toán', '9.75'], ['Tiếng Anh', '9.69'], ['KHTN', '7'], ['LS&&ĐL', '9'], ['Tổng các môn', '42.69'], ['Tổng Toán, Văn, Anh', '26.69']]
151172,[['Ngữ văn', '7.75'], ['Toán', '9.25'], ['Tiếng Anh', '9.69'], ['KHTN', '7.5'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '42.69'], ['Tổng Toán, Văn, Anh', '26.69']]
024253,[['Ngữ văn', '7.25'], ['Toán', '9.75'], ['Tiếng Anh', '9.69'], ['KHTN', '7'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '42.19'], ['Tổng Toán, Văn, Anh', '26.69']]
228061,[['Ngữ văn', '8.5'], ['Toán', '9.75'], ['Tiếng Anh', '8.44'], ['KHTN', '9'], ['LS&&ĐL', '5.5'], ['Tổng các môn', '41.19'], ['Tổng Toán, Văn, Anh', '26.69']]
023152,[['Ngữ văn', '7.25'], ['Toán', '9.75'], ['Tiếng Anh', '9.69'], ['KHTN', '8.5'], ['LS&&ĐL', '6'], ['Tổng các môn', '41.19'], ['Tổng Toán, Văn, Anh', '26.69']]
041006,[['Ngữ văn', '7.5'], ['Toán', '9.5'], ['Tiếng Anh', '9.69'], ['KHTN', '7.6'], ['LS&&ĐL', '6.75'], ['Tổng các môn', '41.04'], ['Tổng Toán, Văn, Anh', '26.69']]
079088,[['Ngữ văn', '8'], ['Toán', '9'], ['Tiếng Anh', '9.69'], ['KHTN', '7.5'], ['LS&&ĐL', '6.75'], ['Tổng các môn', '40.94'], ['Tổng Toán, Văn, Anh', '26.69']]
228101,[['Ngữ văn', '8.5'], ['Toán', '9.75'], ['Tiếng Anh', '8.44'], ['KHTN', '5.75'], ['LS&&ĐL', '7.5'], ['Tổng các môn', '39.94'], ['Tổng Toán, Văn, Anh', '26.69']]
103201,[['Ngữ văn', '7.25'], ['Toán', '9.75'], ['Tiếng Anh', '9.69'], ['KHTN', '6.5'], ['LS&&ĐL', '6.5'], ['Tổng các môn', '39.69'], ['Tổng Toán, Văn, Anh', '26.69']]
013222,[['Ngữ văn', '8'], ['Toán', '9'], ['Tiếng Anh', '9.69'], ['KHTN', '7.1'], ['LS&&ĐL', '5'], ['Tổng các môn', '38.79'], ['Tổng Toán, Văn, Anh', '26.69']]
170042,[['Ngữ văn', '8'], ['Toán', '9'], ['Tiếng Anh', '9.69'], ['KHTN', '6.75'], ['LS&&ĐL', '4.35'], ['Tổng các môn', '37.79'], ['Tổng Toán, Văn, Anh', '26.69']]
151041,[['Ngữ văn', '7.75'], ['Toán', '9.5'], ['Tiếng Anh', '9.38'], ['KHTN', '9.5'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '44.63'], ['Tổng Toán, Văn, Anh', '26.63']]
103193,[['Ngữ văn', '7.5'], ['Toán', '9.75'], ['Tiếng Anh', '9.38'], ['KHTN', '8.5'], ['LS&&ĐL', '9'], ['Tổng các môn', '44.13'], ['Tổng Toán, Văn, Anh', '26.63']]
228087,[['Ngữ văn', '7.5'], ['Toán', '9.75'], ['Tiếng Anh', '9.38'], ['KHTN', '8'], ['LS&&ĐL', '9'], ['Tổng các môn', '43.63'], ['Tổng Toán, Văn, Anh', '26.63']]
185074,[['Ngữ văn', '7.25'], ['Toán', '10'], ['Tiếng Anh', '9.38'], ['KHTN', '7'], ['LS&&ĐL', '9.5'], ['Tổng các môn', '43.13'], ['Tổng Toán, Văn, Anh', '26.63']]
151165,[['Ngữ văn', '7.5'], ['Toán', '9.75'], ['Tiếng Anh', '9.38'], ['KHTN', '9'], ['LS&&ĐL', '7.1'], ['Tổng các môn', '42.73'], ['Tổng Toán, Văn, Anh', '26.63']]
181132,[['Ngữ văn', '8'], ['Toán', '9.25'], ['Tiếng Anh', '9.38'], ['KHTN', '8'], ['LS&&ĐL', '8'], ['Tổng các môn', '42.63'], ['Tổng Toán, Văn, Anh', '26.63']]
132073,[['Ngữ văn', '7.25'], ['Toán', '10'], ['Tiếng Anh', '9.38'], ['KHTN', '9.5'], ['LS&&ĐL', '6'], ['Tổng các môn', '42.13'], ['Tổng Toán, Văn, Anh', '26.63']]
